date,expected_value,preliminary_value,name,confirmed_value
160809,,,,
160809,-200,-300,銀行券要因,
160809,200,600,財政等要因,
160809,0,300,資金過不足,
160809,12700,12700,国債買入,
160809,15000,15000,国庫短期証券買入,
160809,,,国庫短期証券売却,
160809,,,国債買現先,
160809,,,国債売現先,
160809,,,共通担保資金供給（本店）,
160809,200,200,共通担保資金供給（全店）,
160809,-100,-100,-100,
160809,,,ＣＰ買現先,
160809,,,手形売出,
160809,3500,3500,ＣＰ等買入,
160809,-300,-300,-300,
160809,,,社債等買入,
160809,100,100,ＥＴＦ買入,
160809,,,Ｊ-ＲＥＩＴ買入,
160809,,,被災地金融機関支援資金供給等,
160809,,,貸出,
160809,300,300,国債補完供給,
160809,,-400,-400,
160809,+31400,+31000,小計（除く貸出支援基金）,
160809,,,成長基盤強化支援資金供給,
160809,,,貸出増加支援資金供給,
160809,+0,+0,小計（貸出支援基金）,
160809,+31400,+31000,合計,
160809,+31400,+31300,当座預金増減,
160809,,2983700,当座預金残高,
160809,,2683800,準備預金残高,
160809,,2231100,積み終了先,
160809,,2231100,超過準備,
160809,,299900,非準預先残高,
160809,,,マネタリーベース,
160809,,積み期間（7/16～8/15日）の所要準備額（積数）,積み期間（7/16～8/15日）の所要準備額（積数）,2152100
160809,,積み期間（7/16～8/15日）の所要準備額（１日平均）,積み期間（7/16～8/15日）の所要準備額（１日平均）,69400
160809,,8/10日以降の残り要積立額（積数）,8/10日以降の残り要積立額（積数）,1900
160809,,8/10日以降の残り要積立額（１日平均）,8/10日以降の残り要積立額（１日平均）,300
