date,expected_value,preliminary_value,name,confirmed_value
161003,,,,
161003,1100,1100,銀行券要因,
161003,-24800,-24000,財政等要因,
161003,-23700,-22900,資金過不足,
161003,,,国債買入,
161003,,,国庫短期証券買入,
161003,,,国庫短期証券売却,
161003,,,国債買現先,
161003,,,国債売現先,
161003,,,共通担保資金供給（本店）,
161003,1900,1900,共通担保資金供給（全店）,
161003,-4500,-4500,"-4,500",
161003,,,ＣＰ買現先,
161003,,,手形売出,
161003,-100,-100,ＣＰ等買入,
161003,,,社債等買入,
161003,,,ＥＴＦ買入,
161003,,,Ｊ-ＲＥＩＴ買入,
161003,,,被災地金融機関支援資金供給等,
161003,,,貸出,
161003,4400,4400,国債補完供給,
161003,,-100,-100,
161003,,,米ドル資金供給用担保国債供給,
161003,+1700,+1600,小計（除く貸出支援基金）,
161003,,,成長基盤強化支援資金供給,
161003,,,貸出増加支援資金供給,
161003,+0,+0,小計（貸出支援基金）,
161003,+1700,+1600,合計,
161003,-22000,-21300,当座預金増減,
161003,,3097100,当座預金残高,
161003,,2798100,準備預金残高,
161003,,2329000,積み終了先,
161003,,2329000,超過準備,
161003,,299000,非準預先残高,
161003,,,マネタリーベース,
161003,,積み期間（9/16～10/15日）の所要準備額（積数）,積み期間（9/16～10/15日）の所要準備額（積数）,2075500
161003,,積み期間（9/16～10/15日）の所要準備額（１日平均）,積み期間（9/16～10/15日）の所要準備額（１日平均）,69200
161003,,10/4日以降の残り要積立額（積数）,10/4日以降の残り要積立額（積数）,4400
161003,,10/4日以降の残り要積立額（１日平均）,10/4日以降の残り要積立額（１日平均）,400
